# Time (Hours), Altitude, Semi Major Axis, Eccentricity, Inclination, Argument Of Periapsis, RAAN, True Anomaly, Acceleration Norm PM Sun, Acceleration Norm PM Moon, Acceleration Norm PM Mars, Acceleration Norm PM Venus, Acceleration Norm SH Earth, Acceleration Norm Aero Earth, Acceleration Norm RP Sun
1.800000000000000044e+00,5.579085313538751052e+02,6.986989166268735971e+03,8.517232840097893609e-03,9.775002495814031533e+01,3.117365320943102702e+01,3.233948045768967745e+02,1.272627338072950742e+01,3.894493517311820920e-07,7.348249461607010031e-07,2.329331563865219116e-13,1.136525421567114094e-11,8.297762375331215523e+00,1.194723616962435186e-07,8.890833331093804729e-08
1.833333333333333259e+00,5.601369431852884873e+02,6.984510015825560004e+03,8.213516842529038423e-03,9.775132517556696143e+01,2.975146990853806628e+01,3.233962495037026770e+02,2.170311204173970765e+01,3.531845586184127268e-07,6.708385152812343708e-07,2.190965469002647245e-13,1.067988281831944698e-11,8.288053020963152662e+00,1.153440124282578937e-07,8.890732259182716792e-08
1.866666666666666696e+00,5.634057078003343122e+02,6.982188288742528130e+03,7.996496758944631605e-03,9.775255395935535319e+01,2.759701141643003197e+01,3.233980397236595081e+02,3.140499046849786424e+01,3.213606277611313243e-07,6.140528520404103987e-07,2.112737070687506670e-13,9.985636223519742211e-12,8.276136256197160534e+00,1.096071100674432369e-07,8.890625168240224664e-08
1.899999999999999911e+00,5.676766520237885061e+02,6.980186462820772249e+03,7.906628984374563379e-03,9.775362581030790921e+01,2.500253613313547518e+01,3.234001461227994128e+02,4.153755439722003473e+01,2.978956700469857152e-07,5.714054327269643916e-07,2.106851565453724842e-13,9.333591944727903712e-12,8.262404234939085157e+00,1.026134185545243874e-07,8.890513824153025245e-08
1.933333333333333348e+00,5.728914858855148395e+02,6.978642723571363604e+03,7.961311050489545266e-03,9.775446606734901422e+01,2.241659815334465122e+01,3.234025194105250876e+02,5.165034738060985831e+01,2.866034784811604032e-07,5.499170706855828585e-07,2.174307179347129859e-13,8.782687588366368528e-12,8.247257165721624261e+00,9.474294103541782355e-08,8.890400058183223854e-08
1.966666666666666563e+00,5.789718092660428965e+02,6.977660751258987148e+03,8.149496130372583386e-03,9.775501520178505643e+01,2.030148671545781269e+01,3.234050928474457578e+02,6.127940172119253504e+01,2.896980968049201982e-07,5.542014043964539136e-07,2.304463521901785294e-13,8.393967380693509729e-12,8.231081967770059293e+00,8.640352136964874515e-08,8.890285733432307989e-08
2.000000000000000000e+00,5.858197956381551421e+02,6.977302524948833707e+03,8.436132263946799145e-03,9.775523255751680551e+01,1.898189922957745068e+01,3.234077855511990265e+02,7.009858928597336103e+01,3.065560589572865748e-07,5.840829478531019609e-07,2.479595155870002887e-13,8.218658186393372698e-12,8.214234896870664215e+00,7.797624258437857912e-08,8.890172711616683640e-08
2.033333333333333215e+00,5.933196018609153271e+02,6.977584848131529725e+03,8.773390114352682539e-03,9.775509957887169321e+01,1.858014453233576191e+01,3.234105067055517111e+02,7.798443571254017570e+01,3.341021321064847059e-07,6.347495215319252549e-07,2.680466710587835707e-13,8.282771794887642622e-12,8.197030258992404228e+00,6.977565621352292254e-08,8.890062820761020760e-08
2.066666666666666874e+00,6.013394917162750062e+02,6.978479750730374690e+03,9.112265642910420682e-03,9.775462219776294148e+01,1.904594673534705151e+01,3.234131610380308075e+02,8.498632814215268638e+01,3.683591480850512440e-07,6.992157185140933746e-07,2.889773932920232109e-13,8.577343966172832722e-12,8.179735940077781819e+00,6.205193732386267860e-08,0.000000000000000000e+00
2.100000000000000089e+00,6.097345972493169484e+02,6.979918404577138062e+03,9.410511045188659981e-03,9.775383172186778324e+01,2.022457984461413361e+01,3.234156556370974727e+02,9.125838694543179486e+01,4.056670660140642443e-07,7.706316766912906974e-07,3.093294435807160413e-13,9.062156563680040458e-12,8.162574902406317889e+00,5.496990725087322771e-08,0.000000000000000000e+00
