fluxdate,fluxobsflux
20060521,76.8
20060521,77.5
20060521,77.9
20060522,81.2
20060522,83.1
20060522,82.0
20060523,84.6
20060523,84.2
20060523,84.8
20060524,83.2
20060524,83.7
20060524,83.6
20060525,82.1
20060525,83.7
20060525,83.0
20060526,81.6
20060526,81.6
20060526,82.2
20060527,83.2
20060527,83.0
20060527,84.2
20060528,84.8
20060528,84.7
20060528,84.4
20060529,80.6
20060529,81.1
20060529,81.5
20060530,79.7
20060530,80.0
20060530,80.2
20060531,78.7
20060531,78.4
20060531,78.1
20060601,77.1
20060601,77.2
20060601,77.4
20060602,74.4
20060602,75.3
20060602,76.5
20060603,75.6
20060603,75.9
20060603,76.1
20060604,75.4
20060604,75.6
20060604,76.9
20060605,77.3
20060605,77.9
20060605,77.6
20060606,77.7
20060606,78.0
20060606,79.5
20060607,82.6
20060607,82.7
20060607,83.4
20060608,81.7
20060608,80.0
20060608,80.7
20060609,77.9
20060609,77.6
